num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_spots,section_summary
41,8,第四冊,5,有機化合物,4,有機物在生活中的應用,肥皂與清潔劑、皂化反應,肥皂由油脂與鹼反應生成，屬於鹽類，具親油端與親水端，去污時可將油污包裹形成乳化作用。合成清潔劑則由石化原料製成，可依需求選擇中性或其他性質，適用於硬水且洗滌力佳，不易受水中鈣鎂影響。肥皂在硬水中易形成皂垢，影響清潔效果，且對動物纖維清洗不佳。皂化反應』：油脂＋氫氧化鈉→ 脂肪酸鈉(肥皂)＋甘油(丙三醇)。肥皂製造時，因油脂與氫氧化鈉無法互溶，需加入酒精作溶劑，幫助混合並提高反應速率。反應後，利用鹽析法加入飽和食鹽水分離肥皂與甘油，肥皂浮在上層，甘油沉在下層。
42,8,第四冊,6,力與壓力,1,力與平衡,力的種類、力的單位、力的三要素、兩力平衡、力的測量,力的效應包含讓物體發生形變或運動狀態改變，力分為接觸力與非接觸力。接觸力如拉力、浮力，非接觸力如萬有引力、磁力。力的三要素是大小、方向與作用點，單位為牛頓(N)，1kgw=9.8N。兩力平衡條件是大小相等、方向相反且作用在一直線上。彈簧受力遵循虎克定律，伸長量與外力成正比。合力是多個力的總效果，兩力合成時同向相加，反向相減，夾角時需用平行四邊形法則求合力。測量力常用彈簧，依虎克定律，彈簧伸長量與外力成正比，公式為F＝K×ΔL。
43,8,第四冊,6,力與壓力,2,摩擦力,摩擦力、影響摩擦力的因素、動摩擦力、靜摩擦力,摩擦力是阻止物體相對運動的力，發生於兩物體接觸面上。摩擦力與接觸面平行，方向和運動趨勢相反。其大小與接觸面積無關，而和接觸面材質及正向力成正比。接觸面越粗糙、正向力越大，摩擦力也越大。靜摩擦力是物體受力後仍靜止時的摩擦力，大小會隨施力增加；最大靜摩擦力是物體開始滑動瞬間的摩擦力；動摩擦力是物體滑動時的摩擦力，大小固定，與施力無關。最大靜摩擦力比動摩擦力大。
44,8,第四冊,6,力與壓力,3,壓力,壓力、固體壓力、液體壓力、氣壓,壓力是單位面積上所受的正向力，固體壓力公式為P=F/A，與面積成反比，與正向力成正比。液體壓力公式為P=h×d，深度越深、密度越大，壓力越大。大氣壓力標準為1atm=76cmHg=1013hPa。連通管原理說明，底部相通的液體會保持相同液面高度。帕斯卡定理指出，密閉液體所受壓力可均勻傳遞，並可放大作用力，計算為F小/A小=F大/A大。標準大氣壓可支撐76cm高水銀柱=1013hPa。
45,8,第四冊,6,力與壓力,4,浮力,浮力、液體中的沉浮、浮力的應用,浮力是物體浸入流體中所受到的向上作用力，方向與重力相反。浮力大小B=V液面下×D液，與液面下體積和液體密度有關。當物體密度小於液體密度時，物體浮起；密度相等時，懸浮；密度大於液體時，沉底。浮體受力時，浮力等於重力；懸浮體浮力等於重力；沉體則浮力小於重力。應用上，如魚利用魚鰾調整密度控制浮沉，熱氣球藉由氣體浮力上升。阿基米德原理指出浮力等於排開液體的重量，是浮力計算的重要依據。
46,9,第五冊,1,直線運動,1,單擺的等時性,時間的單位、單擺、等時性,自然界三大基本物理量為長度、質量與時間。時間單位包括太陽日與平均太陽日，一年約365.25天，每四年一閏年，一天等於86400秒。單擺是細繩懸掛重物的裝置，來回擺動形成振動。週期(T)為完成一次振動所需時間，頻率(f)為每秒振動次數，單位為赫茲(Hz)。單擺週期具等時性，與擺角、質量無關，只與擺長及地點重力加速度有關，擺長越長週期越大，擺長越短週期越小，這原理被應用於老式鐘擺、節拍器調速。
47,9,第五冊,1,直線運動,2,位移與路徑長,位置、位移、路徑長,敘述物體位置時，需選定「參考點」並描述相對於參考點的「方向」與「距離」，如「達人家門口右邊30公尺」。描述平面位置時，參考點設為「原點」，左右、上下位置可用正負數表示。路徑長是物體移動的總長度，無方向性，僅描述「數值」。位移是起點到終點的最短直線距離，有方向性，需描述「大小」與「方向」。位移計算為∆X＝X末－X初，正負表示方向。位移和路徑長單位相同，常用cm、m、km。若位移為正，表示沿正方向移動；為負則沿負方向移動；為零則起點終點相同。
48,9,第五冊,1,直線運動,3,速率與速度,速率、速度、等速運動,速率是單位時間內物體走過的距離，無方向性，為標量，僅描述快慢，計算公式為v=ℓ/Δt；若Δt短為瞬時速率，若Δt長為平均速率。速度是單位時間內的位移，具方向性，為向量，描述快慢與方向，計算為v=ΔX/Δt。速率必為正，速度可正可負。路徑長≧位移，故平均速率≧平均速度。等速度運動中，方向與快慢皆不變，平均速度=瞬時速度=平均速率=瞬時速率。等速率運動僅快慢不變，方向可變。打點計時器每隔固定時間打下一點，紙帶點距可反映運動狀態。
49,9,第五冊,1,直線運動,4,加速度,加速度、等加速度運動,加速度運動是指物體運動狀態隨時間改變，包括速度大小或方向改變。加速度是單位時間內速度變化量，公式為a=ΔV/Δt，單位為m/s²。當速度與加速度方向相同，物體加速；方向相反則減速。等加速度運動是指加速度固定的運動，例如自由落體運動，初速為0，加速度為g=9.8m/s²，位置、速度與時間關係可用公式V=gt、h=½gt²、V²=2gh描述。自由落體的速度-時間圖為一條通過原點的斜直線，斜率即為g。
50,9,第五冊,2,力與運動,1,牛頓第一運動定律,牛頓第一運動定律,亞里斯多德認為，物體在水平地面上運動時，若不持續施力，最終會靜止。伽利略則提出，物體靜止是因摩擦力作用，若無外力，物體可保持等速度運動。牛頓根據伽利略的理論，提出第一運動定律—慣性定律，內容為：物體若不受外力或合力為零，靜止物體會保持靜止，運動物體則保持等速度直線運動。慣性是物體維持原運動狀態的性質，質量越大，慣性越大；圓周運動中，旋轉半徑越大，轉動慣性也越大。「牛一：慣性，靜者恆靜、動者恆坐等速度運動。」
51,9,第五冊,2,力與運動,2,牛頓第二運動定律,牛頓第二運動定律,牛頓第一運動定律說明，物體若不受外力或合力為零，則靜止物體保持靜止，運動物體保持等速度直線運動。而牛二則是說明，若物體受合力作用，運動狀態將改變，並沿合力方向產生加速度，加速度方向與合力方向相同。加速度運動包括：方向不變但快慢改變、方向改變但速率不變、方向與快慢皆改變。加速度大小與合力成正比，與質量成反比，關係式為F=ma。單位1牛頓為使1公斤物體產生1 m/s²加速度的力。質量、重力加速度和重力方向相同；加速度與合力方向相同。
52,9,第五冊,2,力與運動,3,牛頓第三運動定律,牛頓第三運動定律,牛頓第三運動定律指出，物體A對物體B施力時，B同時會對A施予大小相等、方向相反的反作用力，且作用於不同物體上，因此不會互相抵消，並同時產生同時消失。物體重量為地球吸引物體的力，反作用力則是物體吸引地球的力。作用力與反作用力與平衡力不同，平衡力作用在同一物體上，能互相抵消；作用反作用力則作用在不同物體上，無法互抵。外力作用在系統外部，能改變物體運動狀態；內力為物體內部的相互作用力，無法改變整體運動。
53,9,第五冊,2,力與運動,4,圓周運動和萬有引力,萬有引力、圓周運動,重量是物體受地球引力作用的大小，屬於力的一種，單位為公斤重或公克重，與質量不同。質量描述物質的本身量，不因地點改變；重量則隨地點變化，例如地球的引力是月球的6倍。萬有引力定律指出，具有質量的兩物體會互相吸引，萬有引力大小與質量成正比，與距離平方成反比。萬有引力是提供星球繞行的向心力，使其作圓周運動。等速率圓周運動方向持續改變，存在向心力，方向指向圓心。若向心力消失，物體會沿切線方向飛出。
54,9,第五冊,3,功與能,1,攻與功率,,
55,9,第五冊,3,功與能,2,動能、位能與能量守恆,,
56,9,第五冊,3,功與能,3,力矩,,
57,9,第五冊,3,功與能,4,簡單機械,,
58,9,第五冊,4,電學,1,靜電,,
59,9,第五冊,4,電學,2,電路與電壓,,
60,9,第五冊,4,電學,3,電流,,
61,9,第五冊,4,電學,4,電阻,,
62,9,第六冊,1,電流的化學效應,1,伏打電池,,
63,9,第六冊,1,電流的化學效應,2,生活中的電池,,
64,9,第六冊,1,電流的化學效應,3,電流的化學效應,,
65,9,第六冊,2,電流的熱效應,1,電流的熱效應,,
66,9,第六冊,2,電流的熱效應,2,電與生活,,
67,9,第六冊,3,電流的磁效應,1,磁鐵,,
68,9,第六冊,3,電流的磁效應,2,磁場,,
69,9,第六冊,3,電流的磁效應,3,電流磁效應,,
70,9,第六冊,3,電流的磁效應,4,電磁鐵、電動機與電話,,
71,9,第六冊,3,電流的磁效應,5,電磁感應,,
