num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_points,section_summary
48,8,第四冊,2,舊傳統與新思潮,2,五四運動,新文化運動、民族主義,五四運動是中國現代歷史上一場重要的政治及文化運動，發生在1919年，主要由學生發起，迅速引發社會各界的關注和參與。這場運動不僅是對當時政府外交失敗的不滿，也是對傳統文化束縛的反抗，旨在促進科學和民主。作為新文化運動的延續，五四運動強調問題與解放，啟發了中國知識分子對於新思潮的追求。這次運動促進了中國現代化進程，深遠影響了中國之後的政治、思想和文化發展，是民族主義重新崛起的重要契機。
49,8,第四冊,2,舊傳統與新思潮,3,社會變遷,社會階級變遷、新技術對社會影響,本節探討了社會變遷的多方面影響，尤其集中在社會階級的變遷以及新技術的引入如何改變社會結構和生活方式。首先，隨著工業革命的推進，傳統的階級結構受到了挑戰，新興的工業階級逐漸崛起，改變了社會的權力分配。其次，新技術的引入推動了生產力的提高，同時也帶來了新型社會問題，如城鎮化過程中的人口過密和環境污染問題。這些變化不僅影響到了經濟結構，還導致了教育、文化等領域的深入變革，最終促成了新舊思潮的碰撞，塑造了現代社會的多元面貌。總之，這一章節強調了社會變遷不可避免且具深遠影響。
50,8,第四冊,3,現代國家的挑戰,1,國民政府的成立與建設,國民黨的北伐、民國初期的政治變遷,本節討論了在中華民國建國後初期面臨的挑戰與建設工作。隨著清朝的覆滅與辛亥革命的成功，中國開始進入共和國時期。然而，政治上的分裂和軍閥割據使得新生的共和國面臨重重困難。國民黨的北伐運動成為本節的重點，它旨在統一全國，結束軍閥割據，建立強而有力的中央政府。北伐的成功使得南京國民政府得以成立，標志著中國政治上的重大變革。隨後，如何建設與鞏固新政府成為新的挑戰，尤其是在政治制度的建立以及社會經濟的改革方面。這一時期的歷史進程不僅為後來的國共合作奠定了基礎，也使得中國在尋求現代化的道路上有所進展。
51,8,第四冊,3,現代國家的挑戰,2,國民政府的內憂與外患,蔣中正的領導、共產黨的崛起,本節探討了國民政府從建立到面臨崩潰的一段歷史過程，聚焦於蔣中正的領導風格如何影響國民政府的發展及其持續性。在內部，政府面臨來自中國共產黨的日益增長的威脅，共產黨的崛起和其有效的組織能力對國民政府構成嚴峻挑戰；外部則需要應對國際各國在東亞地區政治和經濟利益的牽制。國民政府試圖通過政治改革和系統性的推廣西方現代化理念來穩固其統治，但卻未能成功解決經濟困境和深層社會問題。這些內憂外患最終導致國民政府的失敗，並促使中國政治格局出現重大變革。
52,8,第四冊,4,現代國家的變局,1,中日戰爭,中日甲午戰爭、馬關條約,中日戰爭對東亞的地緣政治局勢產生了深遠影響。首先，1894年至1895年的中日甲午戰爭是中國與日本之間的一次重要衝突，這場戰爭的起因與東亞地區的政治格局變化密切相關，也反映了日本對外擴張的野心。其次，戰爭結束後簽訂的馬關條約，不僅讓日本獲得了台灣和澎湖群島的統治權，還加深了列強對中國的侵略和瓜分，進一步削弱了清政府的統治基礎。整體而言，中日戰爭的爆發和後續條約的簽署對中國近代歷史進程有著決定性的影響，並且促使中國社會加速西化改革，嘗試變革以應對外部壓力。
53,8,第四冊,4,現代國家的變局,2,東亞人民的苦難,甲午戰爭、東亞協約,這一節主要探討東亞地區在近代歷史進程中所遭受的苦難，特別是由於西方列強的入侵和本地戰爭所帶來的影響。首先，對甲午戰爭的起因、過程和結果進行解釋，這場戰爭不僅改變了東亞的政治版圖，也對各國的社會結構帶來了深遠影響。其次，討論東亞協約，認知此協約建立背後的力量較量和其帶來的後果，特別是對東亞地區各國之間的互動和關係轉變的影響。在此期間，各國人民面臨文化滲透和經濟剝削的艱辛，從歷史角度探討這一地區所經歷的社會變革與外部干預，並解析其對未來的持久影響。
54,8,第四冊,4,現代國家的變局,3,從國共內戰到中華民國政府還臺,國共內戰、國民政府還臺,本節介紹了國共內戰結束後中華民國政府撤往臺灣的歷史背景與影響。在抗日戰爭結束後，中國爆發國共內戰，國民黨與共產黨進行了激烈的權力鬥爭，最終中共取得大陸的控制權，成立了中華人民共和國。隨著內戰局勢的惡化，中華民國政府被迫撤退到臺灣，並在島上重組政府機構。此舉對兩岸關係及東亞地緣政治產生深遠影響，同時也為臺灣的政治發展與經濟振興奠定了基礎。在這段過程中，中華民國政府在臺灣推動了一系列政治改革及經濟建設，以鞏固其在臺的執政基礎，並開始與國際社會建立新的外交關係。
55,8,第四冊,5,共黨政權在中國,1,中華人民共和國的成立,中華人民共和國成立、毛澤東就任,本節講述了中華人民共和國的成立過程及其初期的重要歷史事件。1949年10月1日，毛澤東在北京天安門廣場宣布中華人民共和國成立，標誌著中國進入社會主義新時代。毛澤東成為國家主席，帶領中共和人民政府進行一系列的政治、經濟、社會改革，包括土地改革、經濟國有化以及推動社會主義建設。新中國的成立結束了長期的內戰，實現了國家統一，並且在國際上逐漸獲得承認，為中國的現代化發展奠定了重要基礎。本節還探討了中共和平建設道路上的挑戰及初期外交政策的探索。
56,8,第四冊,5,共黨政權在中國,2,文化大革命,紅衛兵運動、破四舊,文化大革命是一場發生在中國的政治運動，從1966年至1976年持續了十年。此運動由毛澤東發起，旨在鞏固其政治權力及推進共產主義意識形態。文化大革命的開端是紅衛兵運動，學生紅衛兵積極參與，掀起了廣泛的群眾運動。此外，推動"破四舊"運動，試圖破除舊思想、舊文化、舊風俗、舊習慣，造成社會極大動蕩。知識分子、文化遺產、宗教信仰都受到嚴重打擊。運動後期，革命的矛頭指向黨內高層，造成黨內鬥爭，眾多幹部受到迫害。文化大革命對中國社會、政治、經濟各方面造成深遠影響，結束後，重建社會秩序及經濟發展成為主要任務。
57,8,第四冊,5,共黨政權在中國,3,改革開放至今,改革開放、經濟騰飛,本節主要介紹了自改革開放以來中國的發展歷程和重大變革。改革開放始於1978年，是一個從計劃經濟轉型為市場經濟的重要轉折點，帶動了中國經濟的騰飛。此過程中，政府引入市場經濟元素，實行對外開放政策，吸引外國投資，推動技術和知識的引進，使得中國在短時間內經濟迅速增長。與此同時，中國的社會結構、文化生活及對外關係也發生了重大變化，逐漸融入全球化進程。在政治上，則保持了中國特色的社會主義制度，兼顧經濟發展與社會穩定。
58,8,第四冊,6,當代東亞的局勢,1,冷戰時期的東亞,冷戰體系、東亞的力量對比,本節主要介紹冷戰時期在東亞地區所形成的國際局勢。隨著第二次世界大戰的結束，東亞進入了冷戰體系，區域內開始形成兩大陣營——以美國為首的西方陣營和以蘇聯、中國為代表的共產主義陣營。朝鮮戰爭爆發成為該地區冷戰的重要標誌，進一步加深了陣營之間的對立。此外，冷戰時期日本的經濟崛起和中國的社會主義建設也給東亞地區帶來了深遠影響。東亞地區的政治、經濟和軍事力量對比因此發生重大變化，形成了獨特的國際格局。
59,8,第四冊,6,當代東亞的局勢,2,東南亞國際組織的蛻變,區域合作、政治經濟整合,本節介紹了東南亞國際組織的演變過程，特別是如何從最初的鬆散合作向更加緊密的政治和經濟一體化方向發展。東南亞國際組織如東盟（ASEAN）逐漸擴展其成員國，並在區域合作中扮演更加積極的角色。隨著經濟全球化的進展，這些組織致力於通過建立自由貿易區和擴大區域內的經濟聯繫來促進經濟增長。此外，政治上的合作也在增強，各國通過協商解決區域內的政治和安全問題，從而提升整體的穩定性和影響力，展示了東南亞區域合作的多層次變革與挑戰。
60,9,第五冊,1,古代文明的诞生,1,西亞古文明,美索不达米亚文明、苏美尔人,西亞古文明是人类历史上最早出现的几个古代文明之一，主要位于现今的伊拉克地区，历史上称为美索不达米亚。该地区因其富饶的两河流域而孕育了众多文明，其中最著名的是苏美尔文明和阿卡德文明。苏美尔人被认为是美索不达米亚最早的文明创造者，他们建立了许多独立的城邦，如乌鲁克、乌尔和拉加什等，并在建筑、法律和数学等领域作出杰出贡献。楔形文字的发明是这时期最重要的成就之一，它标志着人类进入文明社会的新时代。此外，西亞古文明还有着先进的农业技术和灌溉系统，这为当地社会经济结构的形成提供了基础。然而，美索不达米亚文明也经常面临外来入侵和自然灾害的挑战，这些因素对其发展产生了深远影响。
61,9,第五冊,1,古代文明的诞生,2,埃及古文明,尼羅河泛濫、水利工程,埃及古文明的发展与尼羅河的关系极为密切，尼罗河的定期泛滥为埃及提供了肥沃的土壤，成为农业发展的基础。人们通过建造水利工程，发展了灌溉系统，以适应河水的季节性变化，从而实现了农业的高产。这不仅促进了社会经济的稳定和繁荣，同时也为文化的形成提供了物质条件。此外，埃及人伟大的建筑成就，如金字塔和神庙，都显示了他们在工程技术及组织劳动方面的卓越能力。这些成就不仅体现了古埃及人的智慧和创造力，也奠定了其古代文明的重要地位，影响深远。
62,9,第五冊,1,古代文明的诞生,3,印度古文明,印度河流域文明、种姓制度,本节介绍了古代印度的文明起源和其早期社会结构。从时间追溯至公元前2500年的印度河流域文明，该文明是世界上最早的城市文明之一，以其发达的城市规划和先进的建筑技术闻名。哈拉帕和摩亨佐达罗是其中最具代表性的城市，展现了卓越的古代城市规划及公共设施。随着印度河流域文明的衰落，雅利安人的入侵引入了一种全新的社会结构，即种姓制度，它深刻影响了印度社会的阶级分化和文化发展。通过对这些古代文明的研究，可以了解到古代印度在城市建设、社会结构及文化交流方面的卓越成就以及其对后世的影响。
63,9,第五冊,2,古希腊羅馬文化的開展,1,希臘的古典文化,人文主義、哲學思想,本節涵蓋古希臘的古典文化背景，強調其在人文主義和哲學思想兩方面的重要影響。首先，古希臘的文化以人文主義為核心，強調對人類生活、價值和理性的重視，這成為後來西方文化的基石。其次，古希臘的哲學思想有著深刻的影響力，蘇格拉底、柏拉圖和亞里士多德等哲學家的作品對西方哲學體系的建立至關重要，他們的思想促進了理性批判及科學精神的發展，為後世提供了無數的理論參考。由此可見，古希臘文化在藝術、文學以及科學領域都留下了不可磨滅的印記。
64,9,第五冊,2,古希腊羅馬文化的開展,2,羅馬的政治與文化發展,羅馬法發源與演變、罗马建築與文化成就,本節介紹了羅馬帝國從政治體制到文化發展的過程。羅馬法是其政治制度的重要支柱，以《十二铜表法》為起點漸進發展，形成完备的法律體系，影響深遠，成為現代法律制度的基礎之一。羅馬的君主制、共和制與帝國制政治变革，反映出對權力平衡的持續摸索和調整。此外，羅馬在文化藝術上也達到高度繁榮，特別是以建築成就為代表，如鬥獸場和萬神殿等，承襲和融合希臘文化元素，形成獨具特色的羅馬風格，這些都構成其重要的歷史遺產。
65,9,第五冊,3,普世宗教的發展,1,基督教的起源與傳布,耶穌的教誨、基督教的傳播,基督教的起源與傳播這一節介紹了基督教的基礎及其早期歷史。基督教起源於公元1世紀的羅馬帝國，耶穌基督被視為信仰的中心，其教誨強調愛、寬恕及對來世的希望，並吸引了眾多追隨者。耶穌的門徒，尤其是彼得和保羅等，使徒在他的逝後，積極傳播福音，將信仰傳至歐洲、亞洲及非洲的不同城邦和國家。基督教發展迅速，在歷經迫害後於4世紀獲得合法地位，並最終成為羅馬帝國的國教，顯示出其早期傳播過程中的重要里程碑。
66,9,第五冊,3,普世宗教的發展,2,伊斯蘭教的興起與擴張,穆罕默德的生平、哈里發帝國擴張,本節介紹了伊斯蘭教的起源和早期發展，重點在於聖先知穆罕默德的生平和其宗教啟示，從而創立了以《古蘭經》為核心經典的伊斯蘭教。穆罕默德所宣揚的宗教理念迅速在阿拉伯半島傳播開來，他建立的信仰團體逐漸凝聚成為一個強大的政治和軍事實體。穆罕默德逝世後，首任哈里發阿布·伯克爾和其繼任者繼續推動伊斯蘭的擴張，在短短幾十年內，哈里發帝國的勢力範圍已經擴展至中東、北非和部分南歐地區，成為當時世界上最強大的帝國之一。這一時期的擴張不僅促進了文化的交流，也使伊斯蘭教逐漸成為普世宗教，影響深遠。
67,9,第五冊,4,近代歐洲的興起,1,文藝復興,人文主義、古典文化復興,文藝復興是一場自14世紀至17世紀期間發生在歐洲的文化運動，旨在重新發現古典希臘和羅馬的藝術和思想。此運動發端於義大利，其特點是強調人文主義，聚焦於現實世界和人類經驗的重要性。藝術家、科學家和哲學家受古典文化啟發，開創出全新的人類視野和智識探索。在藝術領域，風格更趨向現實主義，透過技巧如透視法來表現深度。同時，在文學與思想上也出現了大量以人為中心的作品和觀點，這場智識覺醒對歐洲文化與社會的改革產生了深遠影響，奠定了近代歐洲革新與繁榮的基礎。
68,9,第五冊,4,近代歐洲的興起,2,宗教改革,宗教改革的原因、宗教改革的影響,宗教改革是16世紀發生在西方基督教世界的一場重要運動，其起因主要來自於對羅馬天主教會的腐敗和教條不滿。馬丁·路德在1517年發布九十五條論綱，挑戰教皇的權威，引發了宗教改革的浪潮。此運動迅速席捲歐洲，並分裂了基督教世界，形成新教的誕生。宗教改革不僅在宗教層面帶來了重大變革，也在政治、經濟和社會結構上造成了深遠的影響，促進了民族國家意識的崛起和個人思想自由的發展。這一改革運動奠定了近代歐洲變革的基石，改寫了歐洲的歷史。
69,9,第五冊,5,多元世界的互動,1,歐洲的海外擴張,地理大發现、西方殖民體系,本节主要介绍了欧洲在15世纪末到18世纪初的海外扩张历程。首先，地理大发现是欧洲海外扩张的起点，葡萄牙和西班牙的探险家如哥伦布、达伽马等人，先后开辟了通往亚洲、新大陆的航线，极大地改变了世界格局。其次，形成了以西欧国家为中心的西方殖民体系，这些国家通过军事征服、经济剥削和文化传播等方式，巩固其在非欧地区的霸权地位。这一时期的海外扩张不仅推动了全球贸易的发展，还对被殖民地区的社会经济结构产生了深远影响。
70,9,第五冊,5,多元世界的互動,2,美洲古文明與殖民統治,敬畏自然與宗教崇拜、歐洲殖民與衝突,本節主要介紹了美洲古文明如瑪雅、阿茲特克與印加等文明，這些文明之間有著複雜的社會結構和獨特的文化信仰，其中敬畏自然與宗教崇拜在他們的生活中起著重要作用。另外，本節討論了歐洲國家如西班牙、葡萄牙在地理大發現後，如何通過征服和殖民而在美洲建立起自己的統治，這一過程對當地社會和原住民造成了深遠的影響，包括文化衝突、人口減少及疾病傳播等問題。整體而言，這一部分探討了古文明的榮耀與衰落，及殖民治下的文化交融與衝突。
71,9,第五冊,5,多元世界的互動,3,近代東南亞與南亞,殖民主義影響、反殖民運動,本節主要介紹了近代東南亞與南亞在殖民主義影響下的背景。隨著歐洲列強的擴張，東南亞及南亞地區淪為殖民地，當地的政治、經濟和社會結構均受到重大影響。雖然殖民主主義為這些地區帶來了現代化的某些元素，但也加劇了貧富差距，並引發了資源掠奪與文化衝突。除了殖民影響外，本節還討論了東南亞及南亞人民的反殖運動。面對外來壓迫，當地出現了多種形式的抗爭與獨立運動，以回應殖民主義的壓迫並奮力求取民族自決與主權。這些運動最終促成了部分地區的獨立，然而過程中也充滿了艱難與曲折。
72,9,第五冊,5,多元世界的互動,4,澳洲原住民與殖民統治,澳洲原住民、殖民統治,本節探討澳洲原住民在面對歐洲殖民者到來後所遭受的巨變，以及隨之而來的社會文化變遷。原住民在殖民統治下，面對著土地被侵占、傳統生活方式受到衝擊，人口銳減等嚴峻挑戰。殖民者帶來的疾病、種族歧視政策，加深原住民社會的動盪與衝突。然而，近代也開始注重原住民權利與文化保存，例如政府政策的轉變和過去不公正對待的正式道歉。本節旨在幫助理解多元世界中，殖民歷史對原住民族群的長期影響與當代的回應與修復努力。
73,9,第五冊,6,近代歐洲的變革,1,科學革命,科學方法、科學家貢獻,科學革命是近代歐洲從中世紀思維模式轉型的重要時期，這一段期間涌現出多位傑出科學家，他們的貢獻深刻改變了人類對於宇宙與自然的理解。科學方法的出現以及實驗與觀察的強調，成為許多偉大科學發現的基礎。在這個時期，哥白尼提出了日心說，伽利略使用望遠鏡觀察星空，牛頓則發表了萬有引力定律，這些重大的發現不僅衝擊了當時的宗教觀念，也為後續科學發展奠定了基礎。這些科學家勇於挑戰當時既有的學說，彰顯了科學精神的重要性，為人類社會帶來了知識的光芒。
74,9,第五冊,6,近代歐洲的變革,2,啟蒙運動,理性主義、自由平等,啟蒙運動是18世紀歐洲一場重大的思想運動，其核心價值包含追求理性和知識，以及強調人類的理性思維和經驗是理解世界的關鍵。運動倡導者如伏爾泰、盧梭等人提倡自由、平等和民主，反對專制和宗教迷信。他們主張改革社會和政治架構，以人類理性和科學作為進步的基礎，影響深遠，為後來的法國大革命及歐洲其它地區的社會變革奠定了思想基礎。啟蒙運動不僅改變了歐洲的政治和社會制度，也促進了科學、藝術及文學的發展，成為現代文明的重要組成部分。
75,9,第五冊,6,近代歐洲的變革,3,工業革命,技術創新、經濟發展,工業革命標誌著人類生產力的顯著提升和社會結構的深刻變革。在這一時期，技術創新是驅動工業革命進程的核心力量，特別是在紡織、冶金和動力機器等領域的進步使得生產效率大幅提高。蒸汽機的發明和應用，更是促成了交通運輸的革新，加速了商品和人力資源的流動。此外，經濟發展則體現在工廠制度的興起，生產方式的機械化以及資本市場的擴展，這些發展共同推動了都市化進程和人口遷徙，城市成為經濟活動的中心。這一切均深刻影響了歐洲乃至全世界的社會結構和日常生活，形成現代世界的基礎。
76,9,第六冊,1,現代國家的建立,1,美國獨立革命,殖民地不滿、獨立戰爭 美國獨立革命是18世紀末重要的政治事件，它以殖民地對宗主國英國的不滿為背景，因應不公正的稅制與政治權利缺失而觸發。殖民地人民開始抵制英國進口貨品，並組織大陸會議作為協調機構，強調自治權和公平代表權的重要性。隨著緊張情勢升溫，1775年爆發列星頓和康科德戰役，獨立戰爭自此開始。在喬治華盛頓的領導下，殖民地軍隊經歷了多場戰役，最終於1781年約克鎮戰役決定性地擊敗英軍。1783年簽訂巴黎和約，英國承認殖民地的獨立，美國成為新興的民主共和國，確立了人權與民主原則，對後世政治體系產生深遠影響。
77,9,第六冊,1,現代國家的建立,2,法國大革命,法國大革命的原因、法國大革命的過程,法國大革命是18世紀末在法國發生的一場深刻影響世界歷史的政治運動。其根本原因在於法國社會的階級矛盾與政治不平等，特別是第三階層的怨憤不滿。革命的導火線是路易十六的統治無能及財政危機。1789年，法國國會召開，第三階層宣佈成立國民議會，並要求制定憲法以限制王權，這標誌著革命的開始。隨後，巴黎群眾攻陷象徵君主專制的巴士底監獄。在此期間，法國頒布《人權宣言》，確立自由、平等、博愛的革命理念。最終，路易十六被推翻，法國進入共和時期。然而，革命也帶來了恐怖統治及政治不穩，凸顯了改革的複雜性與必要的權力平衡。
78,9,第六冊,1,現代國家的建立,3,拉丁美洲的獨立運動,宗主國與殖民地的權力關係、美洲獨立運動的影響,拉丁美洲的獨立運動是18至19世紀初的一系列重大事件。這時期的民族鬥爭主要受到啟蒙思想、北美獨立戰爭和法國大革命的影響。殖民地憤怒於宗主國的壓迫與剝削而掀起反抗，領導者如玻利瓦爾和聖馬丁在當地民眾的支持下一步步脫離西班牙和葡萄牙的控制。這些運動不僅改變了權力格局，也為日後的政治結構、國家身份和經濟發展奠定了基礎。然而，獨立後的拉丁美洲面臨政治不穩、經濟困難和內部分裂等挑戰，這些問題的萌芽可追溯至殖民時期的社會結構和經濟模式。
79,9,第六冊,1,現代國家的建立,4,德國與義大利的建國,民族統一、工業化,本節介紹了19世紀歐洲國家的民族主義運動，這對德國和義大利的統一起到了推動作用。德國在俾斯麥的領導下，透過多場戰爭如普奧戰爭和普法戰爭，成功地將各邦聯合，於1871年建立德意志帝國。義大利則在加里波第等愛國運動領袖的努力下，經由戰爭和外交手段逐步統一，最終在1861年成立義大利王國。這些國家的統一不僅促進了政治上的統合，還對各自的經濟發展尤其是工業化產生了積極影響，推動了它們在國際舞台上的崛起。通过分析這些歷史進程，我們能夠更好地理解現代國家的形成過程和影響。
80,9,第六冊,2,帝國主義與第一次世界大戰,1,19世紀帝國主義,殖民主義擴張、經濟競爭與利益衝突,本節介紹了19世紀帝國主義的背景及其帶來的影響。在這一時期，主要歐洲列強為了擴大其影響力和增加經濟利益，開始進行大量殖民地擴張。殖民主義不僅加速了各國間的經濟競爭，還導致國際間的利益衝突增加。這些競爭和衝突進而影響全球政治格局，成為之後國際緊張局勢的重要根源。此外，帝國主義還對被殖民國家的經濟、文化及社會結構造成深遠影響，促使各地人民開始對殖民主義進行不同程度的反抗和鬥爭，為後來的國家獨立浪潮奠定了基礎。在此背景下，世界各地的權力平衡開始轉變，並最終導致了第一次世界大戰的爆發。
81,9,第六冊,2,帝國主義與第一次世界大戰,2,第一次世界大戰,戰爭原因、戰爭過程,第一次世界大戰是由複雜的國際政治局勢和帝國主義競爭引發的全球衝突。主要的原因包括歐洲列強間的軍事同盟體系、民族主義的興起及經濟利益的衝突。戰爭初期主要由協約國和同盟國間的對抗構成，隨著時間的推移逐漸擴大為世界性戰爭。在這場戰爭中，西線的壕溝戰成為戰爭持久化的象徵，東線則因不同國家參與而不斷變化。戰爭過程中使用的科技和軍事策略也發生了顯著變化，最終以協約國的勝利結束戰爭。這場戰爭不僅改變了國際政治版圖，還深刻影響了後續的全球發展。
82,9,第六冊,2,帝國主義與第一次世界大戰,3,巴黎和會與國際聯盟,巴黎和會、國際聯盟,巴黎和會是戰後協商和平的重要會議，其中《凡爾賽條約》的簽署宣布了一戰的結束，並重新劃分了歐洲及其他地區的國界，深刻影響了世界格局。會議還成立了國際聯盟，旨在透過集體安全與國際合作來預防未來衝突。不過，和會的決策也引起許多批評，特別是對戰敗國的嚴苛處罰種下下一次大戰的禍根。儘管有著理想主義色彩，國際聯盟由於缺乏執行力和美國的缺席，終未能有效維護和平。整體而言，巴黎和會及國際聯盟的成立標誌著國際關係的新嘗試，但其成效也反映出當時國際政治的複雜性和局限性。
83,9,第六冊,3,戰間期與第二次世界大戰,1,戰間期的政經發展,經濟大蕭條、新經濟政策,戰間期是指第一次世界大戰結束後至第二次世界大戰爆發前的時間段，期間世界各國在政治與經濟領域均面臨多重挑戰。1929年的經濟大蕭條重創全球經濟，引發失業率激增與社會動盪，各國開始尋求新的經濟戰略來刺激復蘇。蘇聯在此時期實行新經濟政策，允許有限的市場經濟活動，以穩定其經濟結構。同時，地緣政治格局的變化也推動極權主義的興起，如意大利的法西斯主義和德國的納粹主義，各國在面對內外壓力時，選擇不同的發展模式，為後來的戰爭埋下伏筆。這些事件不僅深刻影響國內外政策，也為第二次世界大戰的爆發提供了背景與契機。
84,9,第六冊,3,戰間期與第二次世界大戰,2,第二次世界大戰,軸心國侵略、盟軍反攻,第二次世界大戰是人類歷史上規模最大且最具毀滅性的戰爭之一，涉及全球多個國家和地區。戰爭的起因可以追溯到第一次世界大戰後各國未解決的經濟和政治問題，尤其是德國、日本和義大利等國的侵略野心。1939年，德國入侵波蘭，隨即引發英法宣戰，正式標誌著二戰的開始。初期，軸心國迅速擴張，佔領了歐洲和亞太地區的大片土地。然而，盟軍的反攻在1941年後逐漸形成，關鍵戰役如大西洋戰役、斯大林格勒戰役和諾曼第登陸等逆轉了戰局。1945年，隨著柏林的陷落和日本的投降，戰爭宣告結束。戰後形成的兩極格局深刻影響了隨後的國際局勢。
85,9,第六冊,4,第二次世界大戰後的國際局勢,1,冷戰時代,美蘇冷戰、兩極化格局,冷戰時代是第二次世界大戰結束後至20世紀末的一段重要歷史時期，其特點是美國與蘇聯之間的意識形態、軍事與政治對抗，這段時期被稱為「冷戰」，因為兩國未爆發直接的全面戰爭。冷戰導致了全球兩極化格局的形成，東方以蘇聯為首的社會主義陣營與西方以美國為主的資本主義陣營對峙。這段時期的突出事件包括柏林圍牆的建造與拆除、古巴導彈危機、韓戰及越戰等。冷戰的影響深遠，涉及軍備競賽、太空競賽，以及不結盟運動的發展等。最終，在1991年蘇聯解體時，冷戰結束，標誌著美國為主的西方勢力佔據主導地位，進入後冷戰時代。
